Date,Open,High,Low,Close,Adj Close,Volume
2014-04-08,8.050000,8.230000,7.940000,8.150000,6.676431,96118504
2014-04-09,8.160000,8.190000,8.020000,8.050000,6.594512,92985418
2014-04-10,8.040000,8.080000,7.820000,8.050000,6.594512,160169456
2014-04-11,8.000000,8.010000,7.890000,7.950000,6.512593,77595171
2014-04-14,7.950000,8.010000,7.830000,7.930000,6.496209,53024683
2014-04-15,7.860000,7.910000,7.700000,7.760000,6.356946,75881356
2014-04-16,7.740000,7.920000,7.710000,7.870000,6.447057,70965625
2014-04-17,7.880000,7.890000,7.730000,7.750000,6.348754,45759242
2014-04-18,7.700000,7.800000,7.620000,7.780000,6.373330,41008279
2014-04-21,7.710000,7.800000,7.650000,7.660000,6.275027,45448390
2014-04-22,7.650000,7.770000,7.620000,7.740000,6.340562,64815843
2014-04-23,7.720000,7.830000,7.700000,7.800000,6.389714,48885958
2014-04-24,7.830000,8.100000,7.770000,7.990000,6.545360,139640297
2014-04-25,8.070000,8.110000,7.900000,7.940000,6.504401,69763109
2014-04-28,7.980000,8.160000,7.920000,7.970000,6.528977,96845118
2014-04-29,7.910000,7.980000,7.670000,7.940000,6.504401,67109783
2014-04-30,7.870000,7.980000,7.770000,7.900000,6.471633,39547643
2014-05-05,7.850000,7.860000,7.670000,7.740000,6.340562,57717483
2014-05-06,7.740000,7.900000,7.740000,7.790000,6.381522,46379716
2014-05-07,7.790000,7.890000,7.750000,7.870000,6.447057,52723015
2014-05-08,7.480000,7.580000,7.320000,7.350000,6.351993,75190490
2014-05-09,7.350000,7.370000,7.100000,7.260000,6.274214,62968012
2014-05-12,7.280000,7.430000,7.190000,7.320000,6.326067,51722748
2014-05-13,7.390000,7.590000,7.370000,7.530000,6.507553,89727866
2014-05-14,7.650000,7.830000,7.610000,7.630000,6.593974,93198701
2014-05-15,7.620000,7.640000,7.530000,7.580000,6.550763,45869870
2014-05-16,7.580000,7.800000,7.580000,7.700000,6.654469,96234169
2014-05-19,7.660000,7.780000,7.520000,7.690000,6.645827,59464663
2014-05-20,7.700000,7.780000,7.640000,7.740000,6.689038,68587514
2014-05-21,7.680000,7.770000,7.580000,7.740000,6.689038,54343526
2014-05-22,7.750000,7.940000,7.730000,7.890000,6.818671,92142006
2014-05-23,7.920000,8.200000,7.850000,8.150000,7.043366,133827747
2014-05-26,8.200000,8.290000,8.070000,8.110000,7.008798,60755644
2014-05-27,8.110000,8.250000,8.060000,8.170000,7.060651,80099743
2014-05-28,8.180000,8.460000,8.170000,8.450000,7.302632,155707433
2014-05-29,8.600000,8.750000,8.440000,8.540000,7.380411,166699697
2014-05-30,8.580000,8.660000,8.480000,8.550000,7.389054,106158847
2014-06-03,8.510000,8.630000,8.320000,8.400000,7.259420,118452510
2014-06-04,8.360000,8.400000,8.120000,8.200000,7.086578,77377164
2014-06-05,8.180000,8.350000,8.150000,8.310000,7.181642,47658634
2014-06-06,8.310000,8.330000,8.090000,8.250000,7.129788,49519123
2014-06-09,8.170000,8.560000,8.120000,8.300000,7.172999,82674296
2014-06-10,8.250000,8.490000,8.250000,8.390000,7.250780,69509520
2014-06-11,8.380000,8.520000,8.320000,8.400000,7.259420,57966817
2014-06-12,8.390000,8.460000,8.200000,8.410000,7.268063,80101101
2014-06-13,8.380000,8.480000,8.280000,8.430000,7.285347,63554128
2014-06-16,8.410000,8.420000,8.180000,8.260000,7.138431,86351325
2014-06-17,8.250000,8.250000,8.040000,8.120000,7.017440,68598640
2014-06-18,8.120000,8.170000,8.070000,8.100000,7.000156,34636546
2014-06-19,8.130000,8.150000,7.970000,7.990000,6.905092,40521829
2014-06-20,8.040000,8.130000,7.990000,8.130000,7.026083,42668277
2014-06-23,8.130000,8.180000,8.080000,8.150000,7.043366,24932778
2014-06-24,8.190000,8.190000,8.050000,8.090000,6.991514,32425074
2014-06-25,8.130000,8.140000,7.960000,8.130000,7.026083,53653821
2014-06-26,8.120000,8.330000,8.090000,8.260000,7.138431,59903477
2014-06-27,8.270000,8.380000,8.230000,8.320000,7.190284,55083158
2014-06-30,8.320000,8.330000,8.220000,8.270000,7.147074,39373646
2014-07-01,8.290000,8.290000,8.060000,8.100000,7.000156,60936886
2014-07-02,8.090000,8.130000,8.050000,8.120000,7.017440,40633122
2014-07-03,8.110000,8.170000,8.100000,8.150000,7.043366,28803744
2014-07-04,8.200000,8.500000,8.200000,8.470000,7.319916,135819314
2014-07-07,8.500000,8.890000,8.450000,8.760000,7.570539,146016750
2014-07-08,8.750000,8.780000,8.560000,8.680000,7.501402,63437524
2014-07-09,8.690000,8.760000,8.540000,8.560000,7.397696,62359504
2014-07-10,8.580000,8.760000,8.580000,8.690000,7.510044,49893452
2014-07-11,8.860000,8.940000,8.740000,8.810000,7.613750,84999231
2014-07-14,8.790000,8.970000,8.750000,8.880000,7.674246,51388299
2014-07-15,8.860000,8.900000,8.840000,8.860000,7.656960,37598053
2014-07-16,8.850000,8.930000,8.670000,8.700000,7.518686,73163862
2014-07-17,8.690000,8.750000,8.470000,8.610000,7.440907,70507173
2014-07-18,8.530000,9.020000,8.510000,8.890000,7.682888,102544984
2014-07-21,8.900000,8.990000,8.880000,8.940000,7.726098,51590098
2014-07-22,8.900000,9.210000,8.880000,9.180000,7.933511,87526655
2014-07-23,9.180000,9.460000,9.180000,9.390000,8.114995,89243275
2014-07-24,9.420000,9.820000,9.420000,9.770000,8.443398,143246839
2014-07-25,9.820000,9.890000,9.570000,9.810000,8.477966,73857325
2014-07-28,9.810000,10.000000,9.710000,9.850000,8.512536,122006964
2014-07-29,9.840000,10.090000,9.700000,10.000000,8.642167,106660622
2014-07-30,9.930000,10.010000,9.490000,9.630000,8.322409,163303506
2014-07-31,9.580000,9.920000,9.490000,9.900000,8.555745,92241870
2014-08-01,9.800000,9.980000,9.730000,9.740000,8.417471,90307554
2014-08-04,9.750000,9.970000,9.670000,9.950000,8.598957,90638324
2014-08-05,9.970000,9.970000,9.670000,9.740000,8.417471,82225446
2014-08-06,9.680000,9.690000,9.470000,9.580000,8.279197,76684200
2014-08-07,9.560000,9.650000,9.480000,9.520000,8.227344,69168170
2014-08-08,9.520000,9.540000,9.300000,9.440000,8.158207,87785520
2014-08-11,9.440000,9.680000,9.440000,9.610000,8.305123,70199816
2014-08-12,9.610000,9.610000,9.500000,9.560000,8.261912,51742768
2014-08-13,9.610000,9.630000,9.400000,9.550000,8.253270,53130832
2014-08-14,9.540000,9.570000,9.350000,9.360000,8.089069,62663972
2014-08-15,9.350000,9.500000,9.350000,9.400000,8.123637,41807899
2014-08-18,9.410000,9.480000,9.350000,9.380000,8.106354,58681054
2014-08-19,9.430000,9.430000,9.330000,9.400000,8.123637,58195383
2014-08-20,9.390000,9.390000,9.180000,9.210000,7.959437,93599027
2014-08-21,9.180000,9.340000,9.020000,9.330000,8.063143,97301143
2014-08-22,9.260000,9.370000,9.240000,9.350000,8.080428,58237096
2014-08-25,9.330000,9.330000,9.110000,9.160000,7.916225,53218239
2014-08-26,9.100000,9.220000,9.080000,9.160000,7.916225,34970733
2014-08-27,9.160000,9.260000,9.110000,9.160000,7.916225,33304074
2014-08-28,9.160000,9.180000,9.010000,9.020000,7.795236,51021812
2014-08-29,9.050000,9.150000,9.020000,9.120000,7.881657,31654038
2014-09-01,9.120000,9.190000,9.100000,9.170000,7.924869,43650716
2014-09-02,9.190000,9.250000,9.110000,9.250000,7.994005,61047053
2014-09-03,9.260000,9.520000,9.250000,9.500000,8.210059,117016905
2014-09-04,9.650000,9.770000,9.600000,9.670000,8.356977,110023968
2014-09-05,9.710000,9.860000,9.680000,9.830000,8.495251,92477194
2014-09-09,9.830000,9.830000,9.580000,9.620000,8.313766,63020147
2014-09-10,9.510000,9.540000,9.350000,9.460000,8.175491,69121083
2014-09-11,9.420000,9.580000,9.390000,9.440000,8.158207,70468191
2014-09-12,9.400000,9.460000,9.340000,9.440000,8.158207,38822784
2014-09-15,9.360000,9.360000,9.200000,9.250000,7.994005,96156045
2014-09-16,9.290000,9.340000,9.210000,9.210000,7.959437,79017359
2014-09-17,9.270000,9.300000,9.220000,9.270000,8.011291,67567134
2014-09-18,9.220000,9.280000,9.170000,9.230000,7.976720,64854472
2014-09-19,9.230000,9.280000,9.180000,9.280000,8.019932,66069087
2014-09-22,9.260000,9.320000,9.190000,9.220000,7.968079,66823025
2014-09-23,9.340000,9.500000,9.280000,9.330000,8.063143,87944015
2014-09-24,9.300000,9.450000,9.260000,9.440000,8.158207,89800368
2014-09-25,9.490000,9.520000,9.360000,9.390000,8.114995,78939072
2014-09-26,9.380000,9.410000,9.280000,9.330000,8.063143,54349142
2014-09-29,9.330000,9.330000,9.150000,9.220000,7.968079,87374168
2014-09-30,9.210000,9.230000,9.150000,9.180000,7.933511,51921854
2014-10-08,9.540000,9.580000,9.350000,9.440000,8.158207,144731249
2014-10-09,9.450000,9.570000,9.450000,9.470000,8.184133,82505043
2014-10-10,9.470000,9.710000,9.410000,9.570000,8.270555,117857898
2014-10-13,9.570000,9.800000,9.500000,9.640000,8.331050,82853651
2014-10-14,9.630000,9.630000,9.450000,9.510000,8.218702,65439841
2014-10-15,9.460000,9.520000,9.300000,9.410000,8.132280,60905973
2014-10-16,9.350000,9.380000,9.280000,9.310000,8.045858,60828971
2014-10-17,9.310000,9.410000,9.260000,9.350000,8.080428,59139585
2014-10-20,9.400000,9.460000,9.320000,9.350000,8.080428,59740208
2014-10-21,9.330000,9.340000,9.200000,9.220000,7.968079,55151266
2014-10-22,9.230000,9.280000,9.180000,9.200000,7.950795,41200588
2014-10-23,9.210000,9.240000,9.040000,9.100000,7.864373,47805853
2014-10-24,9.090000,9.180000,9.050000,9.090000,7.855730,32534390
2014-10-27,9.080000,9.090000,8.740000,8.780000,7.587823,84247692
2014-10-28,8.820000,9.030000,8.820000,9.020000,7.795236,69320055
2014-10-29,9.030000,9.220000,8.920000,9.220000,7.968079,83736558
2014-10-30,9.220000,9.220000,9.070000,9.180000,7.933511,69282091
2014-10-31,9.160000,9.420000,9.150000,9.400000,8.123637,110085337
2014-11-03,9.430000,9.560000,9.200000,9.300000,8.037216,88453872
2014-11-04,9.260000,9.420000,9.180000,9.390000,8.114995,90586942
2014-11-05,9.380000,9.410000,9.250000,9.290000,8.028574,47882654
2014-11-06,9.320000,9.500000,9.290000,9.330000,8.063143,72446948
2014-11-07,9.340000,9.560000,9.250000,9.400000,8.123637,100219593
2014-11-10,9.500000,9.620000,9.440000,9.580000,8.279197,129161814
2014-11-11,9.630000,9.800000,9.560000,9.600000,8.296482,166241473
