Date,Open,High,Low,Close,Adj Close,Volume
2014-04-08,6.790210,7.209790,6.790210,7.090910,5.634054,557625770
2014-04-09,7.076920,7.125870,7.013990,7.062940,5.611831,238769595
2014-04-10,7.090910,7.279720,7.013990,7.153850,5.684063,360037016
2014-04-11,7.118880,7.216780,7.090910,7.167830,5.695170,268813965
2014-04-14,7.167830,7.195800,7.055940,7.076920,5.622939,191000282
2014-04-15,7.041960,7.048950,6.867130,6.888110,5.472921,251917590
2014-04-16,6.867130,6.972030,6.860140,6.923080,5.500705,144094724
2014-04-17,6.944060,6.972030,6.811190,6.825170,5.422912,211466109
2014-04-18,6.804200,6.860140,6.734270,6.839160,5.434028,165014081
2014-04-21,6.811190,6.965030,6.769230,6.790210,5.395134,187891019
2014-04-22,6.769230,6.937060,6.755240,6.923080,5.500705,201960918
2014-04-23,6.888110,6.993010,6.874130,6.909090,5.489590,195079977
2014-04-24,6.923080,6.979020,6.888110,6.902100,5.484035,117702555
2014-04-25,6.937060,7.034970,6.867130,6.881120,5.467367,258220144
2014-04-28,6.867130,6.902100,6.748250,6.762240,5.372911,176497924
2014-04-29,6.762240,6.867130,6.748250,6.853150,5.445143,126473959
2014-04-30,6.979020,7.006990,6.825170,6.832170,5.428473,203859254
2014-05-05,6.832170,6.846150,6.699300,6.811190,5.411804,148017983
2014-05-06,6.783220,6.853150,6.762240,6.783220,5.389580,84080605
2014-05-07,6.776220,6.818180,6.741260,6.755240,5.367350,80041087
2014-05-08,6.755240,6.902100,6.741260,6.818180,5.417358,136173026
2014-05-09,6.818180,6.867130,6.776220,6.825170,5.422912,107005945
2014-05-12,6.888110,6.965030,6.846150,6.944060,5.517375,185313108
2014-05-13,6.923080,6.951050,6.874130,6.923080,5.500705,94641039
2014-05-14,6.916080,6.937060,6.839160,6.860140,5.450697,163527834
2014-05-15,6.846150,6.874130,6.790210,6.804200,5.406250,100710503
2014-05-16,6.783220,6.853150,6.783220,6.818180,5.417358,81713389
2014-05-19,6.797200,6.797200,6.622380,6.657340,5.289563,196490549
2014-05-20,6.685310,6.713290,6.629370,6.678320,5.306233,91602581
2014-05-21,6.657340,6.720280,6.580420,6.713290,5.334018,77646197
2014-05-22,6.706290,6.804200,6.692310,6.713290,5.334018,102514714
2014-05-23,6.720280,6.783220,6.706290,6.783220,5.389580,67291999
2014-05-26,6.825170,6.839160,6.776220,6.811190,5.411804,77375817
2014-05-27,6.804200,6.811190,6.727270,6.755240,5.367350,106443702
2014-05-28,6.755240,6.797200,6.713290,6.769230,5.378465,132243973
2014-05-29,6.769230,6.797200,6.713290,6.727270,5.345126,107619689
2014-05-30,6.727270,6.734270,6.678320,6.692310,5.317348,98808483
2014-06-03,6.706290,6.741260,6.664340,6.671330,5.300679,101017035
2014-06-04,6.678320,6.685310,6.573430,6.608390,5.250669,123332363
2014-06-05,6.608390,6.734270,6.594410,6.727270,5.345126,80795479
2014-06-06,6.713290,6.727270,6.608390,6.650350,5.284009,76399204
2014-06-09,6.615380,6.762240,6.615380,6.671330,5.300679,83271351
2014-06-10,6.706290,6.748250,6.657340,6.734270,5.350688,97607257
2014-06-11,6.706290,6.734270,6.678320,6.706290,5.328456,66258773
2014-06-12,6.692310,6.706290,6.657340,6.671330,5.300679,61372301
2014-06-13,6.678320,6.839160,6.671330,6.804200,5.406250,185363598
2014-06-16,6.804200,6.902100,6.776220,6.860140,5.450697,169422635
2014-06-17,6.874130,6.874130,6.790210,6.804200,5.406250,130583426
2014-06-18,6.804200,6.832170,6.790210,6.804200,5.406250,95037794
2014-06-19,6.811190,6.860140,6.713290,6.741260,5.356242,98536238
2014-06-20,6.741260,6.790210,6.727270,6.783220,5.389580,82461998
2014-06-23,6.790210,6.832170,6.734270,6.755240,5.367350,123007962
2014-06-24,6.328670,6.356640,6.300700,6.321680,5.566747,119126918
2014-06-25,6.328670,6.328670,6.272730,6.279720,5.529798,66920827
2014-06-26,6.279720,6.321680,6.279720,6.286710,5.535954,61565032
2014-06-27,6.286710,6.307690,6.265730,6.272730,5.523643,61079932
2014-06-30,6.279720,6.349650,6.279720,6.328670,5.572903,75282477
2014-07-01,6.349650,6.363640,6.300700,6.335660,5.579058,60895835
2014-07-02,6.335660,6.356640,6.307690,6.335660,5.579058,59005790
2014-07-03,6.335660,6.356640,6.314690,6.342660,5.585222,92311122
2014-07-04,6.349650,6.356640,6.328670,6.342660,5.585222,67587436
2014-07-07,6.342660,6.349650,6.314690,6.328670,5.572903,61248909
2014-07-08,6.328670,6.335660,6.300700,6.328670,5.572903,75207939
2014-07-09,6.328670,6.328670,6.230770,6.237760,5.492849,108436395
2014-07-10,6.237760,6.258740,6.223780,6.237760,5.492849,61897257
2014-07-11,6.237760,6.286710,6.230770,6.251750,5.505168,83599539
2014-07-14,6.244760,6.300700,6.223780,6.293710,5.542118,71775038
2014-07-15,6.300700,6.307690,6.279720,6.300700,5.548273,81984214
2014-07-16,6.300700,6.328670,6.293710,6.307690,5.554429,82593959
2014-07-17,6.314690,6.321680,6.272730,6.286710,5.535954,61598854
2014-07-18,6.279720,6.328670,6.265730,6.307690,5.554429,86005305
2014-07-21,6.300700,6.307690,6.272730,6.279720,5.529798,62054189
2014-07-22,6.265730,6.363640,6.265730,6.335660,5.579058,144696622
2014-07-23,6.321680,6.391610,6.321680,6.349650,5.591377,135952806
2014-07-24,6.356640,6.559440,6.356640,6.517480,5.739165,336060632
2014-07-25,6.559440,6.601400,6.503500,6.566430,5.782270,192279153
2014-07-28,6.601400,6.874130,6.601400,6.825170,6.010111,451675030
2014-07-29,6.853150,6.909090,6.797200,6.839160,6.022430,290360682
2014-07-30,6.916080,6.937060,6.762240,6.790210,5.979325,261301387
2014-07-31,6.776220,6.860140,6.755240,6.853150,6.034750,161595209
2014-08-01,6.832170,6.965030,6.811190,6.825170,6.010111,285022285
2014-08-04,6.867130,6.951050,6.804200,6.937060,6.108639,238811938
2014-08-05,6.937060,6.958040,6.853150,6.902100,6.077854,167227174
2014-08-06,6.874130,6.874130,6.755240,6.811190,5.997801,192379390
2014-08-07,6.818180,6.839160,6.678320,6.685310,5.886953,201979210
2014-08-08,6.685310,6.713290,6.643360,6.671330,5.874643,173005350
2014-08-11,6.692310,6.804200,6.692310,6.783220,5.973170,142860313
2014-08-12,6.776220,6.783220,6.713290,6.741260,5.936222,115624352
2014-08-13,6.741260,6.769230,6.664340,6.720280,5.917747,138998412
2014-08-14,6.734270,6.769230,6.699300,6.713290,5.911592,146325700
2014-08-15,6.734270,6.783220,6.699300,6.769230,5.960851,119416205
2014-08-18,6.776220,6.860140,6.762240,6.797200,5.985481,137439678
2014-08-19,6.839160,6.839160,6.741260,6.790210,5.979325,142708515
2014-08-20,6.790210,6.790210,6.734270,6.741260,5.936222,100293826
2014-08-21,6.741260,6.748250,6.594410,6.643360,5.850013,168821772
2014-08-22,6.643360,6.699300,6.622380,6.671330,5.874643,109946610
2014-08-25,6.657340,6.664340,6.587410,6.601400,5.813063,129552443
2014-08-26,6.594410,6.643360,6.580420,6.615380,5.825374,121855471
2014-08-27,6.608390,6.643360,6.594410,6.608390,5.819219,78119140
2014-08-28,6.608390,6.608390,6.545450,6.545450,5.763795,100513502
2014-08-29,6.573430,6.629370,6.545450,6.622380,5.831538,77050695
2014-09-01,6.636360,6.657340,6.601400,6.636360,5.843849,98066649
2014-09-02,6.650350,6.734270,6.615380,6.713290,5.911592,184049185
2014-09-03,6.734270,6.811190,6.727270,6.769230,5.960851,183880997
2014-09-04,6.783220,6.797200,6.734270,6.790210,5.979325,141454459
2014-09-05,6.804200,6.839160,6.776220,6.811190,5.997801,181504047
2014-09-09,6.818180,6.867130,6.769230,6.783220,5.973170,177128470
2014-09-10,6.748250,6.755240,6.692310,6.706290,5.905427,159673106
2014-09-11,6.713290,6.804200,6.692310,6.713290,5.911592,171261366
2014-09-12,6.720280,6.720280,6.664340,6.713290,5.911592,114823989
2014-09-15,6.685310,6.741260,6.650350,6.713290,5.911592,142205586
2014-09-16,6.748250,6.825170,6.706290,6.727270,5.923903,318534675
2014-09-17,6.734270,6.755240,6.664340,6.692310,5.893116,166705751
2014-09-18,6.685310,6.818180,6.664340,6.804200,5.991645,313161227
2014-09-19,6.797200,6.930070,6.783220,6.888110,6.065535,408986838
2014-09-22,6.874130,6.874130,6.720280,6.720280,5.917747,222432043
2014-09-23,6.720280,6.776220,6.713290,6.734270,5.930066,126160535
2014-09-24,6.720280,6.846150,6.706290,6.825170,6.010111,218271376
2014-09-25,6.846150,6.874130,6.769230,6.790210,5.979325,196219338
2014-09-26,6.776220,6.811190,6.741260,6.797200,5.985481,115255608
2014-09-29,6.818180,6.860140,6.797200,6.825170,6.010111,174121109
2014-09-30,6.839160,6.853150,6.783220,6.818180,6.003956,150283385
2014-10-08,6.839160,6.888110,6.804200,6.881120,6.059380,204095955
2014-10-09,6.888110,6.951050,6.860140,6.888110,6.065535,187284550
2014-10-10,6.853150,6.930070,6.832170,6.874130,6.053224,190233166
2014-10-13,6.846150,6.874130,6.769230,6.804200,5.991645,157058645
2014-10-14,6.797200,6.867130,6.776220,6.797200,5.985481,120124153
2014-10-15,6.797200,6.888110,6.741260,6.846150,6.028585,191508839
2014-10-16,6.811190,7.020980,6.783220,6.916080,6.090165,423804608
2014-10-17,6.909090,6.993010,6.818180,6.888110,6.065535,230258396
2014-10-20,6.944060,6.958040,6.867130,6.923080,6.096329,164047824
2014-10-21,6.916080,6.930070,6.825170,6.839160,6.022430,150565609
2014-10-22,6.846150,6.909090,6.818180,6.839160,6.022430,128717136
2014-10-23,6.839160,6.909090,6.797200,6.818180,6.003956,169335343
2014-10-24,6.832170,6.846150,6.755240,6.769230,5.960851,154887100
2014-10-27,6.727270,6.734270,6.573430,6.622380,5.831538,198669166
2014-10-28,6.643360,6.720280,6.643360,6.706290,5.905427,144492997
2014-10-29,6.720280,6.818180,6.692310,6.783220,5.973170,230302408
2014-10-30,6.797200,6.888110,6.748250,6.860140,6.040905,252796146
2014-10-31,6.909090,7.258740,6.888110,7.132870,6.281066,702222537
2014-11-03,7.167830,7.188810,7.062940,7.104900,6.256435,355171415
2014-11-04,7.132870,7.132870,7.006990,7.041960,6.201012,233394077
2014-11-05,7.048950,7.069930,6.965030,6.986010,6.151744,225312833
2014-11-06,7.000000,7.020980,6.958040,7.013990,6.176382,145664224
2014-11-07,7.000000,7.265730,6.979020,7.118880,6.268746,582173190
2014-11-10,7.363640,7.559440,7.286710,7.377620,6.496588,699808916
2014-11-11,7.426570,7.874130,7.426570,7.636360,6.724429,934846731
2014-11-12,7.587410,7.741260,7.510490,7.727270,6.804482,387585161
2014-11-13,7.762240,7.958040,7.594410,7.650350,6.736749,530907500
2014-11-14,7.608390,7.678320,7.517480,7.622380,6.712118,283732515
2014-11-17,7.650350,7.748250,7.503500,7.517480,6.619745,306763364
2014-11-18,7.517480,7.552450,7.293710,7.307690,6.435009,364508286
2014-11-19,7.293710,7.370630,7.265730,7.321680,6.447328,207817104
2014-11-20,7.307690,7.454550,7.251750,7.391610,6.508907,232235568
2014-11-21,7.398600,7.566430,7.314690,7.545450,6.644375,300296627
2014-11-24,7.391610,7.685310,7.307690,7.594410,6.687489,677891396
2014-11-25,7.559440,7.755240,7.517480,7.748250,6.822958,413970833
2014-11-26,7.867130,7.993010,7.762240,7.916080,6.970745,646736583
2014-11-27,8.027970,8.195800,7.888110,8.027970,7.069273,628825735
2014-11-28,8.062940,8.727270,8.027970,8.671330,7.635804,1190022056
2014-12-01,8.706290,9.076920,8.475520,8.503500,7.488015,868396619
2014-12-02,8.412590,9.146850,8.412590,9.000000,7.925224,842800574
2014-12-03,8.979020,9.293710,8.615380,8.797200,7.746642,1044702871
2014-12-04,8.797200,9.300700,8.650350,9.279720,8.171539,1029659587
2014-12-05,9.384620,9.790210,9.020980,9.461540,8.331647,1229296091
2014-12-08,9.363640,9.818180,9.230770,9.657340,8.504065,1006609175
2014-12-09,9.482520,9.902100,8.713290,8.846150,7.789746,1242947098
2014-12-10,8.881120,9.265730,8.538460,9.202800,8.103806,886989525
2014-12-11,9.062940,9.475520,8.986010,9.125870,8.036062,632876789
2014-12-12,9.125870,9.356640,8.937060,9.076920,7.992957,444099002
2014-12-15,8.951050,8.965030,8.713290,8.923080,7.857490,479086342
2014-12-16,9.006990,9.300700,8.986010,9.293710,8.183859,627323847
2014-12-17,9.433570,10.062900,9.321680,9.867130,8.688802,1243676127
2014-12-18,9.944060,10.028000,9.587410,9.713290,8.553333,714467830
2014-12-19,9.762240,9.930070,9.531470,9.853150,8.676491,623829217
2014-12-22,9.916080,10.629400,9.888110,10.265700,9.039776,977332804
2014-12-23,10.069900,10.475500,9.846150,9.867130,8.688802,631457660
2014-12-24,9.867130,9.930070,9.307690,9.412590,8.288543,597138741
2014-12-25,9.615380,9.979020,9.461540,9.965030,8.775010,651682327
